"","parameter","pob","vusa","improve","italy","slov","swed"
"1","CIN2+","","","","","",""
"2:1","intercept","-3.75 (-4.02, -3.49)","-3.98 (-4.62, -3.35)","-2.84 (-3.64, -2.04)","-4.46 (-4.90, -4.02)","-4.74 (-5.46, -4.03)","-3.28 (-3.73, -2.83)"
"2:2","age.std.40","-0.22 (-0.52, 0.08)","0.08 (-0.47, 0.63)","0.15 (-0.65, 0.95)","-0.17 (-0.62, 0.27)","-0.09 (-0.63, 0.45)","0.29 (-0.20, 0.79)"
"2:3","hpv16","0.67 (0.38, 0.97)","0.96 (0.42, 1.49)","0.82 (-0.06, 1.71)","0.93 (0.47, 1.39)","1.15 (-0.12, 2.42)","0.55 (0.04, 1.06)"
"2:4","intercept","-2.55 (-2.96, -2.14)","-4.58 (-23.56, 14.40)","-1.64 (-3.25, -0.04)","-2.05 (-2.66, -1.43)","-6.67 (NaN, NaN)","-2.14 (-2.79, -1.49)"
"2:5","intercept","-1.81 (-2.00, -1.62)","-1.91 (-2.16, -1.66)","-1.76 (-2.17, -1.34)","-3.01 (-3.32, -2.69)","-2.05 (-2.56, -1.55)","-2.31 (-2.76, -1.86)"
"2:6","age.std.40","0.17 (-0.08, 0.43)","0.08 (-0.32, 0.48)","-0.04 (-0.58, 0.51)","0.10 (-0.32, 0.52)","0.40 (-0.29, 1.10)","-0.17 (-0.80, 0.46)"
"2:7","hpv16","1.30 (1.05, 1.56)","1.49 (1.10, 1.87)","1.65 (1.07, 2.22)","1.33 (0.90, 1.76)","1.61 (0.80, 2.42)","0.90 (0.27, 1.53)"
"3","CIN3+","","","","","",""
"4:1","intercept","-4.60 (-4.95, -4.24)","-4.23 (-4.80, -3.66)","-3.73 (-4.76, -2.70)","-5.38 (-5.94, -4.82)","-4.93 (-5.77, -4.09)","-3.88 (-4.40, -3.35)"
"4:2","age.std.40","-0.22 (-0.58, 0.15)","0.14 (-0.38, 0.65)","0.51 (-0.38, 1.40)","-0.04 (-0.58, 0.50)","0.51 (-0.59, 1.61)","-0.06 (-0.63, 0.51)"
"4:3","hpv16","0.87 (0.52, 1.23)","1.42 (0.88, 1.95)","1.72 (0.67, 2.77)","1.32 (0.76, 1.87)","1.69 (0.37, 3.01)","0.54 (-0.04, 1.11)"
"4:4","intercept","-2.98 (-3.81, -2.16)","-2.62 (-4.93, -0.32)","-1.22 (-2.54, 0.11)","-2.50 (-3.53, -1.46)","-8.73 (NaN, NaN)","-2.59 (-3.77, -1.41)"
"4:5","intercept","-2.32 (-2.55, -2.10)","-2.52 (-2.84, -2.21)","-2.83 (-3.46, -2.20)","-4.83 (-5.59, -4.07)","-3.23 (-4.13, -2.32)","-3.17 (-3.83, -2.52)"
"4:6","age.std.40","0.17 (-0.12, 0.45)","0.05 (-0.40, 0.50)","0.03 (-0.62, 0.68)","0.62 (-0.15, 1.39)","0.22 (-0.37, 0.80)","0.31 (-0.49, 1.11)"
"4:7","hpv16","1.49 (1.20, 1.78)","1.42 (0.96, 1.88)","2.05 (1.29, 2.81)","2.02 (1.13, 2.90)","1.85 (0.60, 3.10)","1.37 (0.53, 2.21)"
